item_ean,item_sku,item_name,item_size,item_category,item_price,item_stock
5057623027483,NKE-DNK-LOW-BLW-UK6,Nike Dunk Low - Black/White,6,men,99.99,100
5057623027490,NKE-DNK-LOW-BLW-UK7,Nike Dunk Low - Black/White,7,men,99.99,100
5057623027506,NKE-DNK-LOW-BLW-UK8,Nike Dunk Low - Black/White,8,men,99.99,100
5057623027513,NKE-DNK-LOW-BLW-UK9,Nike Dunk Low - Black/White,9,men,99.99,100
5057623027520,NKE-DNK-LOW-BLW-UK10,Nike Dunk Low - Black/White,10,men,99.99,100
5057623027537,NKE-DNK-LOW-BLW-UK11,Nike Dunk Low - Black/White,11,men,99.99,100
5057623027544,NKE-DNK-LOW-BLW-UK12,Nike Dunk Low - Black/White,12,men,99.99,100
5057623027551,NKE-DNK-LOW-BLW-UK13,Nike Dunk Low - Black/White,13,men,99.99,100
5057623027568,NKE-DNK-LOW-UNB-UK6,Nike Dunk Low - University Blue,6,men,109.99,100
5057623027575,NKE-DNK-LOW-UNB-UK7,Nike Dunk Low - University Blue,7,men,109.99,100
5057623027582,NKE-DNK-LOW-UNB-UK8,Nike Dunk Low - University Blue,8,men,109.99,100
5057623027599,NKE-DNK-LOW-UNB-UK9,Nike Dunk Low - University Blue,9,men,109.99,100
5057623027605,NKE-DNK-LOW-UNB-UK10,Nike Dunk Low - University Blue,10,men,109.99,100
5057623027612,NKE-DNK-LOW-UNB-UK11,Nike Dunk Low - University Blue,11,men,109.99,100
5057623027629,NKE-DNK-LOW-UNB-UK12,Nike Dunk Low - University Blue,12,men,109.99,100
5057623027636,NKE-DNK-LOW-UNB-UK13,Nike Dunk Low - University Blue,13,men,109.99,100
5057623027643,NKE-DNK-LOW-UNR-UK6,Nike Dunk Low - University Red,6,men,109.99,100
5057623027650,NKE-DNK-LOW-UNR-UK7,Nike Dunk Low - University Red,7,men,109.99,100
5057623027667,NKE-DNK-LOW-UNR-UK8,Nike Dunk Low - University Red,8,men,109.99,100
5057623027674,NKE-DNK-LOW-UNR-UK9,Nike Dunk Low - University Red,9,men,109.99,100
5057623027681,NKE-DNK-LOW-UNR-UK10,Nike Dunk Low - University Red,10,men,109.99,100
5057623027698,NKE-DNK-LOW-UNR-UK11,Nike Dunk Low - University Red,11,men,109.99,100
5057623027704,NKE-DNK-LOW-UNR-UK12,Nike Dunk Low - University Red,12,men,109.99,100
5057623027711,NKE-DNK-LOW-UNR-UK13,Nike Dunk Low - University Red,13,men,109.99,100
5057623027728,,,,,,
5057623027735,,,,,,
5057623027742,,,,,,
5057623027759,,,,,,
5057623027773,,,,,,
5057623027780,,,,,,
5057623027797,,,,,,
5057623027803,,,,,,
5057623027810,,,,,,
5057623027827,,,,,,
5057623027834,,,,,,
5057623027841,,,,,,
5057623027858,,,,,,
5057623027865,,,,,,
5057623027872,,,,,,
5057623027889,,,,,,
5057623027896,,,,,,
5057623027902,,,,,,
5057623027919,,,,,,
5057623027926,,,,,,
5057623027933,,,,,,
5057623027940,,,,,,
5057623027957,,,,,,
5057623027964,,,,,,
5057623027971,,,,,,
5057623027988,,,,,,
5057623027995,,,,,,
5057623028008,,,,,,
5057623028015,,,,,,
5057623028022,,,,,,
5057623028039,,,,,,
5057623028046,,,,,,
5057623028053,,,,,,
5057623028060,,,,,,
5057623028077,,,,,,
5057623028084,,,,,,
5057623028091,,,,,,
5057623028107,,,,,,
5057623028114,,,,,,
5057623028121,,,,,,
5057623028138,,,,,,
5057623028145,,,,,,
5057623028152,,,,,,
5057623028169,,,,,,
5057623028176,,,,,,
5057623028183,,,,,,
5057623028190,,,,,,
5057623028206,,,,,,
5057623028213,,,,,,
5057623028220,,,,,,
5057623028237,,,,,,
5057623028244,,,,,,
5057623028251,,,,,,
5057623028268,,,,,,
5057623028275,,,,,,
5057623028282,,,,,,
5057623028299,,,,,,
5057623028305,,,,,,
5057623028312,,,,,,
5057623028329,,,,,,
5057623028336,,,,,,
5057623028343,,,,,,
5057623028350,,,,,,
5057623028367,,,,,,
5057623028374,,,,,,
5057623028381,,,,,,
5057623028398,,,,,,
5057623028404,,,,,,
5057623028411,,,,,,
5057623028428,,,,,,
5057623028435,,,,,,
5057623028442,,,,,,
5057623028459,,,,,,
5057623028466,,,,,,
5057623028473,,,,,,
5057623028480,,,,,,
5057623028497,,,,,,
5057623028503,,,,,,
5057623028510,,,,,,
5057623028527,,,,,,
5057623028534,,,,,,
5057623028541,,,,,,
5057623028558,,,,,,
5057623028565,,,,,,
5057623028572,,,,,,
5057623028589,,,,,,
5057623028596,,,,,,
5057623028602,,,,,,
5057623028619,,,,,,
5057623028626,,,,,,
5057623028633,,,,,,
5057623028640,,,,,,
5057623028657,,,,,,
5057623028664,,,,,,
5057623028671,,,,,,
5057623028688,,,,,,
5057623028695,,,,,,
5057623028701,,,,,,
5057623028718,,,,,,
5057623028725,,,,,,
5057623028732,,,,,,
5057623028749,,,,,,
5057623028756,,,,,,
5057623028763,,,,,,
5057623028770,,,,,,
5057623028787,,,,,,
5057623028794,,,,,,
5057623028800,,,,,,
5057623028817,,,,,,
5057623028824,,,,,,
5057623028831,,,,,,
5057623028848,,,,,,
5057623028855,,,,,,
5057623028862,,,,,,
5057623028879,,,,,,
5057623028886,,,,,,
5057623028893,,,,,,
5057623028909,,,,,,
5057623028916,,,,,,
5057623028923,,,,,,
5057623028930,,,,,,
5057623028947,,,,,,
5057623028954,,,,,,
5057623028961,,,,,,
5057623028978,,,,,,
5057623028985,,,,,,
5057623028992,,,,,,
5057623029005,,,,,,
5057623029012,,,,,,
5057623029029,,,,,,
5057623029036,,,,,,
5057623029043,,,,,,
5057623029050,,,,,,
5057623029067,,,,,,
5057623029074,,,,,,
5057623029081,,,,,,
5057623029098,,,,,,
5057623029104,,,,,,
5057623029111,,,,,,
5057623029128,,,,,,
5057623029135,,,,,,
5057623029142,,,,,,
5057623029159,,,,,,
5057623029166,,,,,,
5057623029173,,,,,,
5057623029180,,,,,,
5057623029197,,,,,,
5057623029203,,,,,,
5057623029210,,,,,,
5057623029227,,,,,,
5057623029234,,,,,,
5057623029241,,,,,,
5057623029258,,,,,,
5057623029265,,,,,,
5057623029272,,,,,,
5057623029289,,,,,,
5057623029296,,,,,,
5057623029302,,,,,,
5057623029319,,,,,,
5057623029326,,,,,,
5057623029333,,,,,,
5057623029340,,,,,,
5057623029357,,,,,,
5057623029364,,,,,,
5057623029371,,,,,,
5057623029388,,,,,,
5057623029395,,,,,,
5057623029401,,,,,,
5057623029418,,,,,,
5057623029425,,,,,,
5057623029432,,,,,,
5057623029449,,,,,,
5057623029456,,,,,,
5057623029463,,,,,,
5057623029470,,,,,,
5057623029487,,,,,,
5057623029494,,,,,,
5057623029500,,,,,,
5057623029517,,,,,,
5057623029524,,,,,,
5057623029531,,,,,,
5057623029548,,,,,,
5057623029555,,,,,,
5057623029562,,,,,,
5057623029579,,,,,,
5057623029586,,,,,,
5057623029593,,,,,,
5057623029609,,,,,,
5057623029616,,,,,,
5057623029623,,,,,,
5057623029630,,,,,,
5057623029647,,,,,,
5057623029654,,,,,,
5057623029661,,,,,,
5057623029678,,,,,,
5057623029685,,,,,,
5057623029692,,,,,,
5057623029708,,,,,,
5057623029715,,,,,,
5057623029722,,,,,,
5057623029739,,,,,,
5057623029746,,,,,,
5057623029753,,,,,,
5057623029760,,,,,,
5057623029777,,,,,,
5057623029784,,,,,,
5057623029791,,,,,,
5057623029807,,,,,,
5057623029814,,,,,,
5057623029821,,,,,,
5057623029838,,,,,,
5057623029845,,,,,,
5057623029852,,,,,,
5057623029869,,,,,,
5057623029876,,,,,,
5057623029883,,,,,,
5057623029890,,,,,,
5057623029906,,,,,,
5057623029913,,,,,,
5057623029920,,,,,,
5057623029937,,,,,,
5057623029944,,,,,,
5057623029951,,,,,,
5057623029968,,,,,,
5057623029975,,,,,,
5057623029982,,,,,,
5057623029999,,,,,,
5057623030001,,,,,,
5057623030018,,,,,,
5057623030025,,,,,,
5057623030032,,,,,,
5057623030049,,,,,,
5057623030056,,,,,,
5057623030063,,,,,,
5057623030070,,,,,,
5057623030087,,,,,,
5057623030094,,,,,,
5057623030100,,,,,,
5057623030117,,,,,,
5057623030124,,,,,,
5057623030131,,,,,,
5057623030148,,,,,,
5057623030155,,,,,,
5057623030162,,,,,,
5057623030179,,,,,,
5057623030186,,,,,,
5057623030193,,,,,,
5057623030209,,,,,,
5057623030216,,,,,,
